country,region,emajrel,commun,bulgex,elecsd,gdp,gee,injud,MXX,reldiv,WSOCDISX,funding
Afghanistan,2,4,1,0.36569052934646606,1,553.300289383064,-1.4546834230422974,0,33,0.00544069753959775,20,7
Albania,1,4,1,0.23653092980384827,1,4094.35883191918,-0.2827554941177368,0,4,0.6362428069114685,0,5
Algeria,3,4,0,0.2846815884113312,1,4463.39467488951,-0.4795415997505188,1,29,0.029739324003458023,9,4
Andorra,0,0,0,NA,1,39627.6635163399,1.5180326700210571,1,0,0.36112573742866516,0,2
Angola,4,14,1,0.37064144015312195,1,3529.05348173757,-1.1178961992263794,0,9,0.12766294181346893,4,3
Argentina,5,0,0,0.22317761182785034,1,10276.2604977053,-0.16279000043869019,0,7,0.1718558818101883,13,5
Armenia,1,1,1,0.23366834223270416,0,3218.38165488465,-0.18384353816509247,0,37,0.12243298441171646,21,3
Australia,0,14,0,0.17378318309783936,1,51874.0804819957,1.7687559127807617,1,2,0.6181805729866028,13,3
Austria,0,0,0,0.1430293768644333,1,46657.0629004957,1.841762661933899,1,13,0.46714699268341064,17,2
Azerbaijan,1,5,1,0.2672271430492401,1,5842.80578358576,-0.8069343566894531,0,24,0.10070064663887024,8,3
Bahamas,5,2,0,0.22818665206432343,1,21921.5590634977,1.0757461786270142,1,5,0.14203760027885437,0,0
Bahrain,3,4,0,0.18752066791057587,0,20722.1038895508,0.4569380283355713,1,16,0.4857807755470276,13,7
Bangladesh,2,4,0,0.29570654034614563,1,757.671757176894,-0.7356325387954712,0,6,0.18291252851486206,14,7
Barbados,5,2,0,0.16755089163780212,1,15905.9123150278,1.4116783142089844,1,0,0.5040499567985535,1,0
Belarus,1,1,1,0.1703711450099945,0,6030.38870666591,-1.114167332649231,0,57,0.6661361455917358,13,3
Belgium,0,0,0,0.1454886645078659,1,44380.2374107585,1.5750259160995483,1,13,0.5100952386856079,25,4
Belize,5,0,0,0.3146747648715973,1,4344.15017661252,-0.4300883710384369,1,1,0.39340171217918396,0,1
Benin,4,10,1,0.34936872124671936,1,757.695907409377,-0.5946885943412781,1,0,0.689960777759552,1,2
Bhutan,2,7,0,0.30847498774528503,0,2178.92138307967,0.5846535563468933,1,24,0.27962812781333923,2,2
Bolivia,5,0,0,0.298026978969574,1,1981.16070450437,-0.5023106932640076,0,5,0.14178134500980377,0,3
Bosnia,1,13,1,0.1568983942270279,1,4611.47029811707,-0.7410703897476196,1,20,0.5407717823982239,24,6
Botswana,4,11,0,0.3216058909893036,1,6346.15620387349,0.4473519027233124,1,1,0.7867441177368164,0,0
Brazil,5,0,0,0.23144526779651642,1,11224.1540829355,-0.035341210663318634,0,5,0.2415478378534317,12,1
