artistName,trackName,month,minutes
Taylor Swift,the 1,2020-10-01,3.5
Taylor Swift,cardigan,2020-10-01,3.99
Taylor Swift,the last great american dynasty,2020-10-01,3.83
Taylor Swift,exile (feat. Bon Iver),2020-10-01,4.76
Taylor Swift,my tears ricochet,2020-10-01,4.26
Taylor Swift,mirrorball,2020-10-01,1.28
Taylor Swift,mirrorball,2020-10-01,2.2
Taylor Swift,seven,2020-10-01,3.48
Taylor Swift,august,2020-10-01,4.36
Taylor Swift,this is me trying,2020-10-01,3.25
Taylor Swift,illicit affairs,2020-10-01,3.16
Taylor Swift,invisible string,2020-10-01,4.21
Taylor Swift,mad woman,2020-10-01,2.37
I Hate Kate,It's Always Better,2020-10-01,3.62
Chris Farren,Human Being,2020-10-01,3.24
Miel,Must Be Fine,2020-10-01,2.5
Nick Lutsko,Spineless,2020-10-01,3.77
The Happy Fits,Hold Me Down,2020-10-01,3.73
Madison Cunningham,All At Once,2020-10-01,4.38
The Weepies,Antarctica,2020-10-01,3.21
Math The Band,Didn't Have Time to Think,2020-10-01,5.15
Matt Skiba,Good Fucking Bye,2020-10-01,2.53
Jukebox The Ghost,Getting Older,2020-10-01,3.91
Ben Folds Five,Best Imitation Of Myself,2020-10-01,2.64
Dan & Drum,Lil Bops,2020-10-01,3.15
Alonestar,Raise Em Up - Dance Remix,2020-10-01,0.07
Reggie And The Full Effect,37,2020-10-01,0
Of Monsters and Men,Visitor,2020-10-01,3.45
Tuvaband,I Entered The Void - Quiet,2020-10-01,3.99
Carbozo,Carbozo 2.0 - Extrait du projet Carbozo Vol. 1,2020-10-01,0.48
Tuvaband,Unknown,2020-10-01,4.17
Tuvaband,Trees,2020-10-01,3.57
Tuvaband,Everything We Do Is Wrong,2020-10-01,4.13
Tuvaband,Horses,2020-10-01,3.28
Tuvaband,(It's Not About) Running,2020-10-01,4.1
Tuvaband,He Said Me Too - Quiet,2020-10-01,2.98
Fear of Men,Sane,2020-10-01,4.7
RY X,Deliverance,2020-10-01,3.83
Joshua Burnside,And You Evade Him/Born in the Blood,2020-10-01,4.95
Daughter,Smother,2020-10-01,4
Samantha Crain,Joey,2020-10-01,4.66
Agnes Obel,Riverside,2020-10-01,3.83
In The Valley Below,Hymnal,2020-10-01,4.45
Marika Hackman,Deep Green,2020-10-01,3.59
CLOVES,Don't Forget About Me,2020-10-01,4.48
Broods,Sleep Baby Sleep,2020-10-01,3
London Grammar,Hey Now,2020-10-01,3.45
Adna,Beautiful Hell,2020-10-01,2.94
Hozier,Arsonist's Lullabye,2020-10-01,4.44
SOAK,B a noBody,2020-10-01,4.8
Monica Heldal,Swan,2020-10-01,5.47
Wickerbird,The Fold,2020-10-01,3.61
Jill Andrews,Lost It All,2020-10-01,3.73
Apparat,Goodbye (with Soap & Skin),2020-10-01,4.49
BANKS,Waiting Game,2020-10-01,3.46
Tusks,Toronto,2020-10-01,3.32
London Grammar,Wasting My Young Years,2020-10-01,2.1
London Grammar,Wasting My Young Years,2020-10-01,1.3
The National,The System Only Dreams in Total Darkness,2020-10-01,3.95
The Deep Dark Woods,Drifting on a Summer's Night,2020-10-01,2.91
Ben Howard,In Dreams,2020-10-01,3.55
Dermot Kennedy,Glory,2020-10-01,3.7
Twin Caverns,Swell,2020-10-01,4.06
Puzzle Muteson,By Night,2020-10-01,3.64
Father John Misty,O I Long to Feel Your Arms Around Me,2020-10-01,2.38
Tash Sultana,Notion,2020-10-01,5.68
Liz Longley,Rescue My Heart,2020-10-01,3.43
Vera Sola,The Cage,2020-10-01,1.96
Brooke Annibale,Hold On,2020-10-01,3.83
Mt. Wolf,Bohemia,2020-10-01,5.26
Emily Jane White,Hands,2020-10-01,3.37
Emily Jane White,Washed Away,2020-10-01,3.94
Aoife O'Donovan,The King of All Birds,2020-10-01,3.94
Julien Baker,Appointments,2020-10-01,4.56
Ailbhe Reddy,Distrust,2020-10-01,3.55
Vera Sola,"Loving, Loving",2020-10-01,3.33
RY X,Berlin,2020-10-01,2.83
RY X,Berlin,2020-10-01,2.9
RY X,Oceans,2020-10-01,4.66
Fear of Men,Sane,2020-10-01,4.7
RY X,Deliverance,2020-10-01,2.9
Joshua Burnside,And You Evade Him/Born in the Blood,2020-10-01,2.55
Daughter,Smother,2020-10-01,4.01
Samantha Crain,Joey,2020-10-01,4.68
Agnes Obel,Riverside,2020-10-01,2.43
RY X,Only,2020-10-01,2.11
Fear of Men,Sane,2020-10-01,4.7
RY X,Deliverance,2020-10-01,3.84
Joshua Burnside,And You Evade Him/Born in the Blood,2020-10-01,4.95
Daughter,Smother,2020-10-01,4.01
Samantha Crain,Joey,2020-10-01,4.68
Agnes Obel,Riverside,2020-10-01,3.84
In The Valley Below,Hymnal,2020-10-01,4.45
Marika Hackman,Deep Green,2020-10-01,3.6
CLOVES,Don't Forget About Me,2020-10-01,4.48
Broods,Sleep Baby Sleep,2020-10-01,3
London Grammar,Hey Now,2020-10-01,3.45
Adna,Beautiful Hell,2020-10-01,2.94
Hozier,Arsonist's Lullabye,2020-10-01,4.44
SOAK,B a noBody,2020-10-01,1.8
Monica Heldal,Swan,2020-10-01,1.76
Wickerbird,The Fold,2020-10-01,3.61
Jill Andrews,Lost It All,2020-10-01,3.73
Apparat,Goodbye (with Soap & Skin),2020-10-01,4.49
BANKS,Waiting Game,2020-10-01,3.46
Tusks,Toronto,2020-10-01,2.37
Tusks,Toronto,2020-10-01,0.96
London Grammar,Wasting My Young Years,2020-10-01,3.4
The National,The System Only Dreams in Total Darkness,2020-10-01,0.5
Ben Howard,In Dreams,2020-10-01,0.49
The Deep Dark Woods,Drifting on a Summer's Night,2020-10-01,0.77
Dermot Kennedy,Glory,2020-10-01,3.7
Twin Caverns,Swell,2020-10-01,2.16
Puzzle Muteson,By Night,2020-10-01,3.64
Father John Misty,O I Long to Feel Your Arms Around Me,2020-10-01,2.39
Tash Sultana,Notion,2020-10-01,5.68
Liz Longley,Rescue My Heart,2020-10-01,1.02
Vera Sola,The Cage,2020-10-01,1.57
Brooke Annibale,Hold On,2020-10-01,0.22
Kevin Garrett,Little Bit of You,2020-10-01,4.57
Lights,Up We Go,2020-10-01,0.9
Marian Hill,Down,2020-10-01,3.3
luhx.,Poison.,2020-10-01,0.6
Phosphorescent,Song For Zula,2020-10-01,0.64
Fink,Looking Too Closely,2020-10-01,5.18
Lisa Hannigan,Undertow,2020-10-01,0.31
Gary Clark Jr.,Honest I Do - Live,2020-10-01,0.23
Jukebox The Ghost,Show Me Where It Hurts - Solo Piano Version,2020-10-01,3.27
Watsky,Don't Be Nice,2020-10-01,3.3
KALEO,Way down We Go - Recorded at Spotify Studios NYC,2020-10-01,3.22
Orangutang,Bella,2020-10-01,1.24
El Perro del Mar,Fight For Life,2020-10-01,0.27
Julien Baker,Go Home,2020-10-01,5.08
Hailaker,Not Much,2020-10-01,0.52
Fountains Of Wayne,Hey Julie,2020-10-01,2.62
Jack Johnson,"Sitting, Waiting, Wishing",2020-10-01,3.06
Eagle-Eye Cherry,Save Tonight,2020-10-01,3.99
Eagle-Eye Cherry,Are You Still Having Fun?,2020-10-01,3.2
Counting Crows,Big Yellow Taxi,2020-10-01,0.41
Watsky,Don't Be Nice,2020-10-01,3.3
Gregory Alan Isakov,Fire Escape,2020-10-01,1.54
The Strumbellas,Young & Wild,2020-10-01,4.33
The Strumbellas,Young & Wild,2020-11-01,0.04
Ryan Cabrera,I Will Remember You,2020-11-01,0.22
Eagle-Eye Cherry,Save Tonight,2020-11-01,3.99
David Gray,This Year's Love,2020-11-01,1.73
Fear of Men,Sane,2020-11-01,4.7
RY X,Deliverance,2020-11-01,3.84
Joshua Burnside,And You Evade Him/Born in the Blood,2020-11-01,0.49
Daughter,Smother,2020-11-01,4.01
Samantha Crain,Joey,2020-11-01,4.68
Agnes Obel,Riverside,2020-11-01,3.84
In The Valley Below,Hymnal,2020-11-01,4.45
Marika Hackman,Deep Green,2020-11-01,3.6
CLOVES,Don't Forget About Me,2020-11-01,4.48
Broods,Sleep Baby Sleep,2020-11-01,3
London Grammar,Hey Now,2020-11-01,3.45
Adna,Beautiful Hell,2020-11-01,2.94
Hozier,Arsonist's Lullabye,2020-11-01,4.44
SOAK,B a noBody,2020-11-01,4.8
Monica Heldal,Swan,2020-11-01,5.48
Wickerbird,The Fold,2020-11-01,3.61
Jill Andrews,Lost It All,2020-11-01,3.73
Apparat,Goodbye (with Soap & Skin),2020-11-01,4.49
BANKS,Waiting Game,2020-11-01,3.46
Tusks,Toronto,2020-11-01,3.33
London Grammar,Wasting My Young Years,2020-11-01,3.4
The National,The System Only Dreams in Total Darkness,2020-11-01,3.95
The Deep Dark Woods,Drifting on a Summer's Night,2020-11-01,2.01
The Deep Dark Woods,Drifting on a Summer's Night,2020-11-01,0.91
Ben Howard,In Dreams,2020-11-01,3.56
Dermot Kennedy,Glory,2020-11-01,3.7
Twin Caverns,Swell,2020-11-01,4.06
Jukebox The Ghost,Jumpstarted,2020-11-01,4.38
Of Monsters and Men,We Sink,2020-11-01,4.36
